SEASON,player_name
1993–94,Chris Webber
1994–95,Grant Hill
1994–95,Jason Kidd
1995–96,Damon Stoudamire
1996–97,Allen Iverson
1997–98,Tim Duncan
1998–99,Vince Carter
1999–00,Elton Brand
1999–00,Steve Francis
2000–01,Mike Miller
2001–02,Pau Gasol
2002–03,Amar'e Stoudemire
2003–04,LeBron James
2004–05,Emeka Okafor
2005–06,Chris Paul
2006–07,Brandon Roy
2007–08,Kevin Durant
2008–09,Derrick Rose
2009–10,Tyreke Evans
2010–11,Blake Griffin
2011–12,Kyrie Irving
2012–13,Damian Lillard
2013–14,Michael Carter-Williams
2014–15,Andrew Wiggins
2015–16,Karl-Anthony Towns
2016–17,Malcolm Brogdon
2017–18,Ben Simmons
2018–19,Luka Dončić
2019–20,Ja Morant
2020–21,LaMelo Ball
2021–22,Scottie Barnes
2022–23,Paolo Banchero
2023–24,Victor Wembanyama
2024–25,Stephon Castle
